Gender,Level,Age,CGPA,Exam Frequency,Better System,Stress Exam Type,Likert_MCQ_Objectivity,Likert_Written_Fairness,Likert_MCQ_Accuracy,Likert_MCQ_Guessing,Likert_Written_Depth,Likert_MCQ_Prep_Ease,Likert_Written_Measure,Likert_Written_Time_Stress,Likert_Stress_Comparison,Field_Category,Preferred_System_Type
1,1,1,3,2,0,1,5,3,5,5,5,5,4,3,4,Computer Science & IT,Practical/Project-Based
1,1,1,3.3,2,1,2,3,4,2,5,5,3,5,3,1,Data Science & AI,Mixed 
0,0,0,-,2,0,0,1,1,1,1,1,1,1,1,1,High School Student,Other
0,1,1,2.7,2,2,1,3,2,4,4,3,5,3,4,4,Other,Other
1,1,1,3.2,1,0,1,5,2,4,5,1,5,2,5,5,Data Science & AI,Other
1,1,1,2.5,2,1,1,5,3,3,2,5,1,5,3,4,Data Science & AI,MCQ 
1,1,1,3.6,2,0,1,5,3,4,4,5,5,4,5,5,Computer Science & IT,Mixed 
0,1,1,3.7,2,0,1,5,3,5,4,2,5,2,5,5,Other,Other
1,1,1,3.3,2,1,1,2,4,3,4,5,3,4,5,4,Engineering,MCQ 
1,1,1,3.6,1,1,2,3,5,2,1,5,5,5,3,3,Computer Science & IT,Practical/Project-Based
1,1,1,3.56,2,1,2,3,3,3,4,5,5,3,5,2,Data Science & AI,MCQ 
0,1,1,3.65,2,0,1,3,3,4,5,4,5,2,3,5,Data Science & AI,Other
0,1,1,3.5,2,0,2,2,3,3,4,2,5,3,4,3,Engineering,Mixed 
1,0,0,-,2,0,1,3,1,5,5,1,4,1,2,4,High School Student,MCQ 
0,1,1,3.79,2,1,1,4,4,2,4,5,5,3,1,3,Data Science & AI,Mixed 
1,1,1,2.2,2,1,2,2,3,3,4,5,2,5,3,3,Engineering,Written 
1,1,1,2.6,2,1,2,2,4,3,2,4,4,4,2,3,Engineering,Mixed 
1,1,1,3.68,2,1,1,3,4,2,5,5,5,5,5,5,Data Science & AI,Mixed 
0,1,0,3.36,2,1,2,4,4,2,4,5,4,5,1,4,Business & Economics,Practical/Project-Based
