Timestamp,Gender,Level of Study,Age,Field of Study,CGPA,How often do you take exams?,Which system allows you to better demonstrate your understanding?,Which exam type causes you more stress?,If you could design the perfect examination system for your field what features would it include?,MCQ exams are fair because grading is objective.,Written exams are fair despite potential subjectivity. ,MCQ exams accurately reflect my knowledge.,Guessing can improve scores in MCQ exams.   ,Written exams encourage deeper understanding.   ,MCQ exams are easier to prepare for than written exams.   ,Written exams better measure understanding.   ,I often run out of time during written exams.  ,I experience higher stress during written exams than MCQ exams.  
4/7/2026 14:55:30,Male,Undergraduate,18-22,Mechatronics & Robotics Engineering ,3,Very often,MCQ exams,Written exams,Projects,5,3,5,5,5,5,4,3,4
4/7/2026 15:26:33,Male,Undergraduate,18-22,Data science ,3.3,Very often,Written exams,Both equally,Balanced system which contains both MCQ and written questions ,3,4,2,5,5,3,5,3,1
4/7/2026 17:07:47,Female,High School,Under 18,-,-,Very often,MCQ exams,MCQ exams,-,1,1,1,1,1,1,1,1,1
4/7/2026 18:28:33,Female,Undergraduate,18-22,دراسات قانونيه ومعاملات دوليه,2.7,Very often,Both equally,Written exams,متوازن,3,2,4,4,3,5,3,4,4
4/7/2026 19:11:23,Male,Undergraduate,18-22,Data science ,3.2,Sometimes,MCQ exams,Written exams,Boring ,5,2,4,5,1,5,2,5,5
4/7/2026 21:24:41,Male,Undergraduate,18-22,Computer data science ,2.5,Very often,Written exams,Written exams,Mcq mi,5,3,3,2,5,1,5,3,4
4/7/2026 21:26:55,Male,Undergraduate,18-22,Computer science ,3.6,Very often,MCQ exams,Written exams,Mix between mcq and written ,5,3,4,4,5,5,4,5,5
4/7/2026 21:27:01,Female,Undergraduate,18-22,Date science ,3.7,Very often,MCQ exams,Written exams,.,5,3,5,4,2,5,2,5,5
4/7/2026 21:27:36,Male,Undergraduate,18-22,Computer and communication engineering ,3.3,Very often,Written exams,Written exams,"If it's mcq , an explanation for the answer counts as part of the grade to show the understanding of my choice ",2,4,3,4,5,3,4,5,4
4/7/2026 21:28:31,Male,Undergraduate,18-22,Computer science ,3.6,Sometimes,Written exams,Both equally,Practical ,3,5,2,1,5,5,5,3,3
4/7/2026 21:30:56,Male,Undergraduate,18-22,Data science ,3.56,Very often,Written exams,Both equally,MCQ with a section where test takers could explain why they chose the answer ,3,3,3,4,5,5,3,5,2
4/7/2026 21:32:29,Female,Undergraduate,18-22,Computer and Data  science ,3.65,Very often,MCQ exams,Written exams,Use a hint with each question,3,3,4,5,4,5,2,3,5
4/7/2026 21:34:06,Female,Undergraduate,18-22,CCE ,3.5,Very often,MCQ exams,Both equally,Written questions with points for each step for problems and Mcq questions for understanding questions ,2,3,3,4,2,5,3,4,3
4/7/2026 21:34:26,Male,High School,Under 18,-,-,Very often,MCQ exams,Written exams,MCQ,3,1,5,5,1,4,1,2,4
4/7/2026 21:35:18,Female,Undergraduate,18-22,Data science,3.79,Very often,Written exams,Written exams,"Tricky mcq questions that distinguish students who understand the subject from those who don't. Written questions, if required, to make students learn how to express and articulate their thoughts on the subject.",4,4,2,4,5,5,3,1,3
4/7/2026 21:41:47,Male,Undergraduate,18-22,Engineering ,2.2,Very often,Written exams,Both equally,"I will give a written exam to determine the student's level of understanding, and this depends on whether the presenter was good or bad.",2,3,3,4,5,2,5,3,3
4/7/2026 21:44:05,Male,Undergraduate,18-22,Engineering ,2.6,Very often,Written exams,Both equally,Mix of mcq and written problems ,2,4,3,2,4,4,4,2,3
4/7/2026 21:55:44,Male,Undergraduate,18-22,Data Science,3.68,Very often,Written exams,Written exams,"I would make it a mix of MCQs and written questions, having more written questions",3,4,2,5,5,5,5,5,5
4/7/2026 21:56:07,Female,Undergraduate,Under 18,School of International Business - FIBH,3.36,Very often,Written exams,Both equally,"A lot more practical work rather than just mere essay, theoretical and MC questions. ",4,4,2,4,5,4,5,1,4
4/7/2026 21:56:12,Male,Undergraduate,18-22,Mechatronics engineering ,3,Very often,MCQ exams,Written exams,..,5,1,5,5,1,5,1,5,5
4/7/2026 22:20:10,Male,Undergraduate,18-22,Artificial Intelligence,2.98,Very often,MCQ exams,Written exams,"Explanatory questions and definitions of the most important field-related subjects. MCQs but not easy to know the difference, so some questions would be hard about 25% percent of the examination, the rest 50% meduim, and 25% easy questions, so I know who from the examiners understands the field correctly and who is just memorizing to choose the right answer. ",5,3,4,3,2,4,2,4,3
4/7/2026 22:30:39,Male,Undergraduate,18-22,Mechatronics Engineering ,3.93,Very often,Written exams,Both equally,Written with a marking scheme specifying if x is mentioned/ calculated y marks are given. With carry through if a mistake initially is done in calculations ,3,4,3,5,5,2,5,2,2
4/7/2026 22:44:55,Female,Undergraduate,18-22,Computer science ,3.53,Sometimes,MCQ exams,Written exams,Idk,4,3,3,3,4,5,4,5,5
4/7/2026 23:13:31,Male,Undergraduate,18-22,Business Analytics,3.18,Sometimes,Written exams,Written exams,mixed system writing and mcq ,2,5,4,5,5,5,5,1,5
4/8/2026 0:08:05,Female,Undergraduate,18-22,Business ,3.4,Very often,MCQ exams,Written exams,"70%mcq 
15% true or false 
15% essay ",4,3,3,2,4,4,3,5,5
4/8/2026 0:20:58,Female,Undergraduate,18-22,Data science ,3.4,Sometimes,MCQ exams,Both equally,Open book exams,2,4,4,3,4,4,4,5,3
4/8/2026 0:36:42,Female,Undergraduate,18-22,Computer science ,3.4,Very often,MCQ exams,Written exams,To be mcq exams,4,3,4,4,4,4,3,4,4
4/8/2026 4:36:03,Male,Undergraduate,18-22,Computer and data science,3.4,Very often,Both equally,Written exams,Both MCQ and Written to insure fair evaluation.,3,4,1,5,5,4,4,2,2
4/8/2026 18:46:42,Female,Postgraduate,18-22,CS,3.7,Very often,MCQ exams,Written exams,.. ,5,3,4,3,4,5,2,2,5
4/8/2026 18:56:59,Male,Undergraduate,18-22,Computer science ,3.87,Very often,Written exams,Written exams,"Balance between all the types of questions. Focus on the understanding and construction of the concepts, as in a puzzle game: you teach students the parts with examples, and they should assemble it. Assign the correct time for all of the questions. ",2,4,2,4,5,4,4,1,3
4/12/2026 11:44:04,Male,Undergraduate,18-22,Computer Science,3.2,Very often,Written exams,Written exams,"Mix of MCQ + short answers, partial credit, time flexibility",4,3,3,4,5,4,5,4,4
4/12/2026 11:54:24,Male,High School,Under 18,-,-,Very often,Written exams,Both equally,short written + MCQ combined,4,4,3,5,5,4,5,3,4
4/12/2026 11:55:50,Female,Undergraduate,23-28,Electrical Engineering,3,Very often,Written exams,Written exams,Problem-solving exams + partial grading,4,2,2,4,5,3,5,5,5
4/12/2026 11:56:50,Male,Postgraduate,23-28,Data Science,3.8,Sometimes,Written exams,Written exams,Project-based + analytical questions,3,4,3,3,5,2,5,4,4
4/12/2026 11:59:21,Female,Undergraduate,18-22,Medicine,3.5,Very often,MCQ exams,MCQ exams,Clinical case MCQs + short notes,5,3,4,5,4,5,4,2,2
4/12/2026 12:00:24,Male,Undergraduate,18-22,Economics and political science,2.9,Sometimes,Written exams,Both equally,Essay,4,3,3,4,5,3,5,4,4
4/12/2026 12:02:05,Female,High School,Under 18,-,-,Very often,Written exams,Written exams,short answers,3,3,2,5,4,3,4,5,5
4/12/2026 12:02:54,Male,Undergraduate,23-28,IT,3.1,Rearely,Both equally,MCQ exams,Online exams + instant feedback,5,2,4,5,3,5,3,2,2
4/12/2026 12:04:09,Female,Postgraduate,23-28,Childhood and Education,3.7,Sometimes,Written exams,Written exams,Essay,3,5,3,2,5,2,5,4,4
4/12/2026 12:23:32,Male,Undergraduate,18-22,Computer science ,3.3,Sometimes,Both equally,Written exams,Written and mcq,3,4,3,3,4,2,4,3,3
4/12/2026 13:33:06,Male,Undergraduate,18-22,Computer science,3.4,Sometimes,Written exams,Both equally,Easy to slove in the of exam,4,2,5,2,4,2,5,1,2
